,0
2053,61148
2054,144021
2055,194457
2056,385275
2057,828504
2058,1191744
2059,242943
2060,833164
2061,139504
2062,123827
2063,1496384
2064,665104
2065,482344
2066,239485
2067,761704
2068,171031
2069,177878
2070,836024
2071,1585164
2072,137789
2073,153207
2074,87470
2075,191880
2076,1533624
2077,189431
2078,1234064
2079,271493
2080,787904
2081,869744
2082,257481
2083,1559084
2084,69524
2085,129842
2086,1138084
2087,258332
2088,425347
2089,868584
2090,184869
2091,213957
2092,677106
2093,51785
2094,1359185
2095,133143
2096,1598285
2097,190154
2098,768644
2099,206769
2100,1417565
2101,1051705
2102,194178
2103,264662
2104,109497
2105,158143
2106,488765
2107,228550
2108,681544
2109,687944
2110,191029
2111,586708
2112,152611
2113,189514
2114,1350
2115,1488966
2116,1218504
2117,188423
2118,183689
2119,1536544
2120,397664
2121,81981
2122,200552
2123,195908
2124,97902
2125,146991
2126,189205
2127,1436565
2128,425248
2129,195400
2130,189048
2131,188918
2132,229530
2133,164274
2134,197589
2135,715364
2136,156450
2137,457384
2138,219185
2139,1201024
2140,1284324
2141,90978
2142,1117864
2143,135156
2144,248074
2145,245881
2146,238766
2147,144342
2148,1423304
2149,138800
2150,172217
2151,1293388
2152,418364
2153,199104
2154,492585
2155,198464
2156,1015784
2157,1038564
2158,129113
2159,1712684
2160,451744
2161,750509
2162,779704
2163,150329
2164,183002
2165,130308
2166,403564
2167,235454
2168,170866
2169,129750
2170,1117584
2171,670044
2172,1551266
2173,215943
2174,166984
2175,473284
2176,241266
2177,45065
2178,66577
2179,1609206
2180,693144
2181,237253
2182,1707345
2183,262342
2184,409024
2185,1515567
2186,1169428
2187,81002
2188,185220
2189,179336
2190,494944
2191,754184
2192,133285
2193,869445
2194,354205
2195,81717
2196,134751
2197,266347
2198,558984
2199,428284
2200,20839
2201,1390466
2202,1058964
2203,148959
2204,798364
2205,771126
2206,73345
2207,1609844
2208,577744
2209,106509
2210,1027884
2211,140491
2212,1501424
2213,1409624
2214,57559
2215,102015
2216,1364224
2217,146158
2218,69857
2219,237632
2220,868984
2221,132545
2222,174722
2223,1472324
2224,1492651
2225,220486
2226,1013784
2227,455644
2228,139247
2229,193271
2230,452024
2231,193010
2232,1385328
2233,149460
